city,year,total_births,total_deaths,births_male,births_female,deaths_male,deaths_female,deaths_others,bbmp_total_births,bbmp_total_deaths,births_registered,deaths_registered,infant_mortality,crude_death_rate,crude_birth_rate_per_1000,crude_death_rate_per_1000,pop_estimate,partial_year,data_source,bbmp_birth_coverage_pct,bbmp_death_coverage_pct,registration_completeness_births,registration_completeness_deaths,male_death_share,sex_ratio_births
Pune,1988,40078,10124,20863.0,19215.0,5958.0,4166.0,,,,,,,0.25260741553969757,19.80465155811285,5.002801845759132,2023666,False,real,,,,,,921.0084839188994
Pune,1989,43603,11106,22803.0,20800.0,6634.0,4472.0,,,,,,,0.25470724491434077,21.050695373462403,5.361764622105668,2071333,False,real,,,,,,912.1606806122002
Pune,1990,47857,15284,24859.0,22998.0,9128.0,6156.0,,,,,,,0.3193681175167687,22.58470976875885,7.21283624351109,2119000,False,real,,,,,,925.1377770626332
Pune,1991,44390,16793,23208.0,21182.0,9959.0,6834.0,,,,,,,0.3783059247578283,20.487698611599573,7.7506177694208525,2166666,False,real,,,,,,912.7025163736643
Pune,1992,63392,14917,33289.0,30103.0,8746.0,6171.0,,,,,,,0.2353136042402827,28.628033814245644,6.73656581914283,2214333,False,real,,,,,,904.2927093033735
Pune,1993,41713,16540,21841.0,19872.0,9614.0,6926.0,,,,,,,0.39651907079327786,18.440760389036253,7.31211317418214,2262000,False,real,,,,,,909.8484501625384
Pune,1994,40768,17033,21396.0,19372.0,9979.0,7054.0,,,,,,,0.41780317896389324,17.651036989763888,7.3746593663326205,2309666,False,real,,,,,,905.4028790428117
Pune,1995,42470,16996,22051.0,20419.0,10046.0,6950.0,,,,,,,0.4001883682599482,18.016122457030892,7.209842648450601,2357333,False,real,,,,,,925.9897510316993
Pune,1996,43550,18223,22928.0,20622.0,10843.0,7380.0,,,,,,,0.4184385763490241,18.10810810810811,7.577130977130977,2405000,False,real,,,,,,899.4242847173762
Pune,1997,44723,17579,23724.0,20999.0,10480.0,7099.0,,,,,,,0.3930639715582586,18.234443662528857,7.167302845148911,2452666,False,real,,,,,,885.1374135896139
Pune,1998,43711,20589,23176.0,20535.0,12227.0,8362.0,,,,,,,0.47102559996339594,17.482071388091107,8.23450316417853,2500333,False,real,,,,,,886.0459095616154
Pune,1999,45405,20290,24128.0,21277.0,12266.0,8024.0,,,,,,,0.44686708512278384,17.819858712715856,7.963108320251178,2548000,False,real,,,,,,881.8385278514589
Pune,2000,46900,21179,24809.0,22091.0,12845.0,8334.0,,,,,,,0.45157782515991474,18.06858047221792,8.159370273371072,2595666,False,real,,,,,,890.4429844008223
Pune,2001,44299,20730,23745.0,20554.0,12579.0,8151.0,,,,,,,0.46795638727736516,16.758766299970528,7.842371732959865,2643333,False,real,,,,,,865.6138134344072
Pune,2002,44371,22159,23966.0,20405.0,13297.0,8862.0,,,,,,,0.49940276306596654,16.488665923448533,8.234485321441843,2691000,False,real,,,,,,851.4145038804974
Pune,2003,45423,21667,24420.0,21003.0,13060.0,8607.0,,,,,,,0.4770050414988002,16.585812216604726,7.911516044672844,2738666,False,real,,,,,,860.07371007371
Pune,2004,46302,21984,24657.0,21645.0,13026.0,8958.0,,,,,,,0.4747959051444862,16.617539970994134,7.8899399318028385,2786333,False,real,,,,,,877.8440199537657
Pune,2005,46464,22097,24804.0,21660.0,13064.0,9033.0,,,,,,,0.4755724862258953,16.395201129146084,7.797106563161609,2834000,False,real,,,,,,873.2462506047411
Pune,2006,48028,22897,25629.0,22399.0,13569.0,9328.0,,,,,,,0.47674273340551343,16.666747638345317,7.945750826084633,2881666,False,real,,,,,,873.9708923485115
Pune,2007,49596,23594,26342.0,23254.0,14000.0,9594.0,,,,,,,0.4757238486974756,16.930816673966394,8.054393269730685,2929333,False,real,,,,,,882.7727583327006
Pune,2008,51140,23965,27213.0,23927.0,14355.0,9610.0,,,,,,,0.46861556511536956,17.17836748404434,8.050050386294927,2977000,False,real,,,,,,879.248888398927
Pune,2009,50777,24263,26905.0,23872.0,14344.0,9919.0,,,,,,,0.47783445260649504,16.787638701264868,8.02171214937451,3024666,False,real,,,,,,887.2700241590782
Pune,2010,51100,26788,27134.0,23966.0,15919.0,10869.0,,,,,,,0.5242270058708415,16.632311666736644,8.719106945764016,3072333,False,real,,,,,,883.2461118891429
Pune,2011,53326,27192,28232.0,25094.0,16013.0,11179.0,,,,,,,0.5099201140156772,17.09166666666667,8.715384615384616,3120000,False,real,,,,,,888.8495324454519
Pune,2012,57139,27322,29524.0,27615.0,15990.0,11332.0,,,,,,,0.47816727629114963,17.527300613496934,8.380981595092026,3260000,False,real,,,,,,935.3407397371631
Pune,2013,58405,27473,30180.0,28225.0,16135.0,11338.0,,,,,,,0.4703878092629056,17.177941176470586,8.080294117647059,3400000,False,real,,,,,,935.222001325381
Pune,2014,58405,27473,30180.0,28225.0,16135.0,11338.0,,,,,,,0.4703878092629056,16.498587570621467,7.760734463276836,3540000,False,real,,,,,,935.222001325381
Pune,2015,54989,28569,28551.0,26438.0,16830.0,11739.0,,,,,,,0.5195402716907018,14.94266304347826,7.7633152173913045,3680000,False,real,,,,,,925.9920843403033
Pune,2016,55633,31374,28779.0,26854.0,18622.0,12752.0,,,,,,,0.5639458594718961,14.563612565445027,8.213089005235602,3820000,False,real,,,,,,933.1109489558359
Pune,2017,55987,28659,29004.0,26983.0,16718.0,11941.0,,,,,,2040.0,0.5118866879811385,14.138131313131312,7.237121212121212,3960000,False,real,,,,,,930.3199558681561
Pune,2018,17660,10333,9168.0,8492.0,6026.0,4307.0,,,,,,,0.5851075877689694,4.307317073170731,2.520243902439024,4100000,True,real,,,,,,926.2652705061082
